Data da opinião,Nota,Título,Conteúdo
uma avaliação Hoje,5,Impossível não se apaixonar,"Somos grandes apreciadores da região, deve ser a quinta vez seguida que nos hospedamos nesse belíssimo hotel! Funcionários extremamente simpáticos! Quartos, café e área comum exuberantes. Limpeza, conforto e localização tops."
set. de 2022,5,Escolha perfeita!,"Localização excelente, região muito arborizada, atendimento atencioso. Mesmo com baixa ocupação o hotel preza pela qualidade com um café da manhã com itens frescos. A suíte estava impecável. Hotel perfeito para quem viaja por conta própria."
24 de dez.,5,"Excelente, nota mil!!","Gostaria de deixar registrado aqui a nossa maravilhosa experiência, fomos 21/12 a 23/12 de 2022. 1- recepção, funcionários muito atenciosos e gentis, ambiente lindo. 2- suite luxo com varanda, um espetáculo, tudo muito cheiroso e limpo, muitos mimos deixados no quarto. 3- o café da manhã, o melhor que já vimos, incrível!! Com muitas opções, inclusive integrais e saudáveis. A decoração da mesa perfeita, os funcionários nos atenderam com uma gentileza que não vimos assim em outro lugar. Parabéns a toda equipe. E qdo pensa que acabou tem o chá da tarde! Magnífico. Enfim, essa foi a nossa experiência! Voltaremos com certeza!!"
18 de dez.,5,Excelente opção para hospedagem em Gramado,"Excelente hotel, com ótima localização e infraestrutura, ótimo atendimento de toda a equipe e ótimas alimentações (café da manhã, chá da tarde e jantares)! Além disso tudo o hotel oferece garagem inclusa na diária."
13 de dez.,5,Quarto confortabilíssimo,As crianças amaram quando entraram no quarto super espaçoso e com uma banheira com hidromassagem. Atendimento do Daniel é primoroso. Ótima experiência para descanso. As bicicletas disponíveis a qualquer hora pra uma volta pelas belas ruas de Gramado tb é uma ótima opção.
6 de dez.,5,Hotel Refúgio da Montanha,"Simplesmente maravilhoso, adoramos a estadia, todos os colaboradores são muito atenciosos. Você se sente acolhida na chegada, com brinde de boas vindas e inclusive na saída com sacola de viagem preparada com carinho 🥰, são detalhes que fazem a diferença. Nós damos nota 1000! E com certeza voltaremos…"
4 de dez.,5,Excelente hotel com ótimo atendimento,"Hotel bonito e muito bem instalado com quarto confortável e espaçoso, equipe atenciosa.  Bom café da manhã, chá da tarde, bar com agradável música ao vivo em algumas noites.  A única ressalva é que em função do aspecto construtivo do hotel, a propagação do som de crianças e latidos de cachorro a noite, em alguns dias chegou a atrapalhar o sono."
2 de dez.,5,"Conforto, aconchego e o carinho de todos.","Um local charmoso, conforto excepcional. A atenção dos funcionários desde a recepção até o café da manhã é de muita excelência. Em especial o cuidado que o ""Jaja"" dispensou na arrumação do nosso quarto. Café da manhã excelente e ótima localização. Somos clientes fiéis."
1 de dez.,5,Harmonia e Alegria!,"Recepção maravilhosa! Acomodação perfeita! Quarto com mimos e super confortável. Hotel lindo e bem localizado. Funcionários educados, prestativos e atenciosos. Café da manhã delicioso, completíssimo! Tudo muito harmonioso! Atenção especial da Gerente!"
nov. de 2022,5,Aconchegante e sofisticado,"Hotel novo com ótimas acomodações, quarto muito aconchegante, cama confortável, limpeza nota 10, funcionários extremamente educados e solícitos. Café da manhã com variedades e sabores com gostinho de quero mais. Excelente custo benefício"
nov. de 2022,5,Roupa de cama impecável,"Excelente serviço, recepção atenciosa, roupa de cama impecável, quarto espaçoso, cama ampla, banheiro grande, amenities, aquecedor de toalha.  Quarto cheiroso, bem cuidado.  Café da manhã feito com carinho. Bolos incríveis.  Late checkout com preço justo."
nov. de 2022,5,Gramado novembro 22 - excelente hotel,"Viajei com meu esposo para umas férias curtas. Amamos a estadia no hotel. Funcionários muito educados, excelente café da manhã. Tudo muito limpo e organizado. Além de terem disponibilizado bicicletas para um passeio.  Flexibilidade com check out.  com certeza voltaremos."
nov. de 2022,5,Excelente,"O hotel é maravilhoso, super aconchegante, atendimento excelente e um café da manhã maravilhoso! Ficamos muito satisfeitos durante todos os dias da nossa estadia. Voltaremos novamente sem sombras de dúvidas!"
nov. de 2022,5,Hotel Maravilhoso!!,"Gostaria de deixar registrado o excelente atendimento desse hotel que além de ser maravilhoso (chiquérrimo) você consegue ficar hiper a vontade. Atendentes super educados e prestativos, gerente hiper atenciosa, quartos super aconchegantes, café da manhã maravilhoso. Parabéns!!"
nov. de 2022,5,Experiência incrível,"Hotel impecável, com atendimento excelente. Ficamos na suíte com hidromassagem e foi uma experiência extraordinária. Cama gigante com travesseiros e colchão muito confortáveis (nem dava vontade de sair da cama). Banheiro com duas duchas e quarto com hidromassagem muito boa e grande (cabem 2 pessoas tranquilamente). Nosso quarto ainda contava com uma sacada com vista para a frente do hotel. Café da manhã em formato buffet excelente, muitas opções doces e salgadas (mas poucas opções sem lactose). Restaurante e bar com ótimos serviços e preços bons. Hotel localizado há 20min a pé do centro de Gramado, mas a menos de 5 minutos de carro. Hóspedes ganham massagem nos pés. Único ponto a ser melhorado é a limpeza durante a estadia, que poderia ser mais rigorosa."
nov. de 2022,5,Aconchego de montanha,"Atendimento excepcional! Hotel super confortável e aconchegante… Nos sentimos como em casa! Equipe super atenciosa e interessada em fazer o melhor! Café da manhã muito amplo e com alimentos selecionados, nada de pré-pronto."
nov. de 2022,5,Nota 10,"Hotel MARAVILHOSO todos os funcionários muito atenciosos… quarto limpo e espaçoso, precisei do berço para minha bebê e já estava no quarto com toda cobertinha e forro de cama, tudo muito lindo e bom gosto. Café da manhã e chá da tarde uma delícia. Com certeza voltarei!!!"
nov. de 2022,5,Hotel nota 10 Fabuloso,"Hotel muito aconchegante, fomos recebidos com champagnhe, quartos arrumados toda hora que saiamos, sempre com mimos e bilhetes para nós e para nossa Pet. Melhor Hotel, melhor atendimento, melhor equipe de profissionais! Melhor café da manhã! Sem deslizes. Nota 10!"
nov. de 2022,5,Maravilhoso,Funcionários simpáticos e prestativos  Gastronomia e bufê bem elaborados e delicioso  Ambiente cheiroso  Tudo bem organizado  Estadia incrível  Chá da tarde um carinho a parte que faz toda a diferença
nov. de 2022,5,Perfeito,"Uma experiência perfeita. Estrutura excelente, ótimo café da manhã, e funcionários maravilhosos, desde a recepção, passando por cozinha e limpeza. Não escolheria um outro hotel em um futuro retorno a gramado."
nov. de 2022,5,EXCELENTE HOTEL EM GRAMADO,"EXCELENTE HOTEL, LIMPEZA, CAFÉ DA MANHÃ E FUNCIONÁRIOS MARAVILHOSOS...RECOMENDO E ESPERO EM BREVE VOLTAR AO HOTEL REFÚGIO DA MONTANHA. ESTACIONAMENTO COM MANOBRISTA 24 HS GRÁTIS. OBRIGADO POR PROPORCIONAREM MOMENTOS INESQUECIVEIS."
nov. de 2022,5,Melhor experiência de hotel para sua família!,"Hotel lindo, instalações novas, e localização excelente. Destaque especial ao atendimento, desde pessoal da recepção aos garçons. Nosso dia já começava bem especial com café da manhã delicioso e atendentes calorosos.  Um carinho diferenciado: um kit de boa viagem. Enfim, todo cuidado e carinho do início ao fim da nossa estadia."
nov. de 2022,5,Boa experiência!,Funcionários simpáticos e prestativos. Café da manhã variado e com boa apresentação. Ganhamos de presente uma massagem relaxante nos pés para o casal. Entregam na saída um kit de boa viagem com água e barrinha de cereal. Hotel limpo e bem cuidado. Roupa de cama e toalhas macias. Travesseiros gostosos. O chão do banheiro é aquecido. Sugestão: melhorar o blackout para vedar mais a claridade do quarto.
nov. de 2022,5,A melhor experiência em Gramado,"Excepcional do começo ao fim. Destaque para o café da manhã melhor que tudo! Atendimento, limpeza. Tudo absolutamente impecável. Quartos impecáveis e todos os mimos desde a chagada a saída. Recomendo e quero voltar. Equipe atenciosíssima. Lobby incrível!"
nov. de 2022,5,Vale a experiência,"Funcionários atenciosos, prestativos, café da manhã e chá da tarde excelentes, quarto bom e limpo, chuveiro e tamanho do banheiro excelentes.  Enfim, merece nosso reconhecimento e ser indicado a outras pessoas."
nov. de 2022,5,Excelente,"Viajamos com dois bebês e até mini berço de qualidade tinha no quarto. Alem disso, é bem localizado e possui otima estrutura, com atendimento nota 10. Com certeza recomendo a estadia em família.  Sensacional!"
nov. de 2022,5,Excelente,"Hotel agradabilíssimo. Limpeza, funcionários, alimentação excelentes. Hotel em meio à natureza com uma vista muito bonita. Café da manhã maravilhoso. Com certeza se estivermos voltando a Gramado ano que vem será novamente nossa escolha"
nov. de 2022,5,Meu lugar definitivo para próximas hospedagens,"Simplesmente perfeito!!! Estrutura, lugar lindo localização, acesso, quartos espaçosos, roupa de cama impecável , café da manhã completíssimo com direito a espumante e a equipe excepcional. Tudo maravilhoso."
out. de 2022,5,Excelência e impecável.,"Em resumo impecável, desde do atendimento, quarto, demais instalações, café da manhã chá da tarde, champanhe na saída, tudo de Excelência. Aproveito para agradecer o atendimento do Jonathan e Marcelo, e todos os demais. Ja estou planejando a volta."
out. de 2022,5,Segunda vez no melhor Hotel de Gramado!,"Pela segunda vez esse ano fiquei hospedada no Refúgio da Montanha. A experiência mais uma vez foi fantástica! Do início ao fim, sempre com atendimento nota mil.  O mais interessante é que fiquei a primeira vez no outono e agora voltando na primavera… são experiências diferentes!  No outono curti a lareira na sala de estar e agora na primavera, tomei meu champanhe nos sofás na área externa, curtindo a natureza e os pássaros.  Obrigada Refúgio da Montanha por proporcionar momentos de paz!! Foi incrível mais uma vez!"
out. de 2022,5,Refúgio aconchegante,"O local é lindo! rico em detalhes, muito aconchegante! a equipe é extremamente gentil e hospitaleira. Nossa experiência foi inesquecível, pretendemos voltar. A equipe administrativa busca aprimorar seus colaboradores."
out. de 2022,5,Experiencia,"Foi uma experiencia em família, principalmente para nossa PET, o Hotel é feito a ela. Foi uma aventura a ela, iremos voltar com certeza, pois este Hotel para nós é único. Voltaremos em breve, Gramado com um todo é lindo mas este Hotel Hotel Refugio da Montanha, sem palavras."
out. de 2022,5,Melhor Atendimento em Hotel,"Hotel excelente em limpeza!  Instalação perfeita  Ótima Localização  O melhor, nunca fui tão bem atendido pelo pessoal, sempre atenciosos e gentis!  Nem em hotéis 5 estrelas fomos tão bem tratados!  Recomendo a hospedagem!"
out. de 2022,5,Hotel charmoso e aconchegante,"Um hotel muito confortável, fomos recebidos de forma carinhosa. Nossa pet também foi muito bem recebida no hotel, com direito a caminha e potinhos para ração e água. Um hotel muito limpo, charmoso e aconchegante.  Café da manhã excelente!!"
out. de 2022,5,Perfeito,"Hotel muito bem localizado, fomos andando para Lago Negro, Rua Coberta, Lago Joaquina Bier, inclusive a noite, pois a área é muito segura.  O atendimento é diferenciado, sempre tem mimos no seu quarto, os atendentes estão prontos a lhe ajudar com tudo.  Há drinks de boas vindas e água e lanche pra viagem na saída.  Tem uma farmácia bem próximo para se precisar de algo.  O chá da tarde é uma delícia, experiente ao menos um dia.  Ficamos num quarto com hidro é vista, excepcional. Tudo lindo e sempre muito limpo."
out. de 2022,5,Hotel fantástico,"O hotel é maravilhoso e o serviço prestado por toda a equipe é sensacional.  Super recomendado!    SPA, restaurante, cortesias e mimos i discutívelmente diferenciados.    A localização é excelente.    Voltaremos outras vezes!"
out. de 2022,5,Pet friendly de verdade,"Viagem em casal com 02 pets, o hotel é super acolhedor, funcionários educados e prestativos, ótima limpeza, recepção com mimos no quarto para nós e para os pets, disponibilizaram caminhas, tapetes higiênicos e vasilhas para os pets. Café da manhã ótimo e local para tomar café com os pets (isso é um diferencial maravilhoso). Tudo perfeito, com atenção aos detalhes. Super indico este hotel para todos."
out. de 2022,5,Viagem de 1 ano de casamento.,"Estrutura nova e limpa! Café maravilhoso! Camas confortáveis, o chá da tarde faz aquela diferença de mimo com os hóspedes e na saída ainda dão um kit de boa viagem com água e maçã, que demonstra a atenção e cuidado com os hóspedes!"
set. de 2022,5,SENSACIONAL,"Foram dias sensacionais! O melhor hotel que já ficamos! Pensam em cada detalhe para que a estadia seja perfeita! Sem palavras para descrever a altura da experiência que tivemos. Quando chegamos no quarto havia um espumante cortesia, doces e há máquina de café no quarto também. Sem contar no maravilhoso café da manhã, chá da tarde e os mimos durante a estadia. PERFEITO!"
set. de 2022,5,Excelente!,"Fiz questão de vir fazer minha primeira avaliação aqui no Tripadvisor depois de ficar hospedada no Refúgio da Montanha. Em 2021 já havia passado a lua de mel no mesmo quarto e este ano, 2022, voltamos novamente. A experiência atual foi ainda melhor que a primeira. Atendimento impecável desde que chegamos até o fim da estadia. Hotel extremamente limpo e cheiroso. Quarto aconchegante, roupões e toalhas trocados diariamente, super macios e quentinhos. Roupas de cama de qualidade, super bem cuidadas e cheirosas. Hidromassagem maravilhosa! Amei que vocês dão os sais de banho de brinde e touca diariamente. O quarto que ficamos possui uma mesa que é ótima para trabalho, com 2 poltronas super confortáveis. A sacada tem uma vista linda com uma cortina super charmosa e que veda super bem a luz. Quarto super silencioso! Ah, o chão do banheiro é aquecido e tinha 2 chuveiros no mesmo box, MARAVILHOSO!!! Pressão da água super forte! Mas o que me ganhou mesmo foi os detalhes: champanhe de presente para brindarmos no primeiro dia, chocolatinho no quarto, recadinho da camareira, guia turístico, guia pet... sem falar que ganhamos 2 massagens relaxantes para os pés (nem chegamos a usar, mas valeu pela intenção)! O café da manhã é delicioso e também o chá da tarde. Gostaria de registrar que fiquei super surpresa com a gentileza de um colaborador, que me ofereceu uma térmica para colocar o café enquanto eu estava trabalhando remotamente no hall. Que simpatia! Não bastando tudo isso, na hora do check-out, já super realizados com o atendimento, foi nos entregue um ""kit viagem"" contendo água e maçãs para comermos na vinda para casa. Experiência fantástica! Já estivemos em lugares que, mesmo a diária sendo mais cara, o atendimento não chegou nem perto do Refúgio da Montanha. Quero registrar aqui a minha gratidão pela atenção e simpatia de todos os colaboradores, desde recepcionistas, manobristas, camareiras, atendentes, enfim... e por pensarem com tanto carinho nos clientes. Com certeza voltaríamos mais vezes e vamos indicar para todo mundo! ♥"
set. de 2022,5,Hotel refugio do vale,"Gostaria de deixar aqui a minha gratidão ao hotel refugio do vale, fiquei encantada com o lugar. Quarto muito confortável, lugar maravilhoso, super recomendo.  Já estou ansiosa para retornar. Super recomendo, tanto para quem vai em casal, como em família. Nota 1000"
set. de 2022,5,Hotel 10 estrelas,"É segunda vez que meu esposo e eu nos hospedamos neste hotel, não trocamos de jeito nenhum. O ambiente é aconchegante, tudo muito limpo, café da manhã e da tarde muito bom, a comida do bistro é bem gostosa, todos os colaboradores são muito educados e prestativos, não tem ngm com cara feia, os quartos são perfeitos, a cama gostosa, aquecimento no banheiro. E dessa vez fomos com nossa filha de 4 patas, o fato de ter um espaço separado para que a gente possa tomar café com ela junto faz toda a diferença, foras os mimos q eles deram pra ela, tudo maravilhoso. Acabamos de voltar pra casa com gostinho de quero mais."
set. de 2022,5,"Cuidados com todos, inclusive pet!","Foi uma experiência maravilhosa, todos são muito simpáticos e atenciosos. O cuidado com o hóspede é incrível, eles dão mimos durante sua estadia e inclusive, ao sair dela (nos deram duas águas e frutas para a viagem!!). O café da manhã é muito variado e delicioso. As acomodações são maravilhosas, o quarto mais simples tem cama king! E não é só isso, são pet e disponibilizam uma caminha, um tapete higiênico e dois potinhos para você colocar água e comida pro seu pet. É muito carinho e cuidado com nossos bichinhos! E você pode ir no café com eles! Existe um espaço a.parte e não é longe da mesa do café. Não tenho uma reclamação! Ele é bem localizado e fica em uma rua tranquila. Voltarei com certeza!"
ago. de 2022,5,Hotel maravilhoso,"Hotel sensacional! Fomos bem atendidos desde o dia que chegamos, até o dia que fomos embora! Com direito a kit de boas vindas e também de boa viagem ao final da estadia! Hotel com ótima estrutura, funcionários solícitos, café da manhã e da tarde maravilhoso! Toda noite a camareira passava deixar um mimo no quarto. Hotel um pouco afastado do movimento do centro de Gramado, o que pra nós foi perfeito! Cama grande e confortável! Quarto grande, banheiro espaçoso! Em uma próxima viagem à gramado, com certeza voltaremos a nos hospedar!"
ago. de 2022,5,EXCELENTE HOTEL! VALE CADA CENTAVO!,"Esse foi um dos melhores hotéis que já fui na vida (top 3). Localização simplesmente sensacional (próximo aos principais restaurantes da cidade (Colosseo e Le Chalet) além de ser super perto do centro e da rodoviária). Próximo ao lago negro. Bicicletas disponíveis para os hospedes. O champanhe não é somente na entrada (nos deram vários copos). Atendimento super rápido e prestativo. Fui com minha namorada e amamos cada dia dessa estadia. Além de prepararem com antecedência o café da manhã (5 horas da manhã), pois nosso voo sairia as 9:00 de POA. VALE CADA CENTAVO!"
ago. de 2022,5,Passeio,"Maravilhoso hotel, atendimento ótimo, limpeza ótima, café maravilhoso nota 1000  Tudo de muito bom gosto com certeza voltaremos, estão de parabéns...  Servem chá da tarde já está na diária um diferencial"
ago. de 2022,5,Excelente atendimento,"Ficamos impressionados com a qualidade e bom gosto de todos os detalhes.  - Estrutura sofisticada e aconchegante na medida certa.  - Serviço bom ( organização do quarto em horários alternativos, mimos deliciosos, estacionamento )  - Funcionários muito educados e prestativos (especialmente Juan, Mathias)  - Quarto confortável e aconchegante  - Café da manhã espetacular 🫶 ( pastéis de Belém e espumante ganharam meu coração)  - Restaurante ( cardápio variado, drinks, música ao vivo )  - Massagem ( amamos a cortesia de massagem aos pés e aproveitamos pra contratar outras opções disponíveis).    Sugestões:  - Expandir horário do bar/bistrô para almoço  - Divulgar mais o spa ( um diferencial maravilhoso pelas mãos de uma fada!)    Foi um prazer. Estamos ansiosos pra retornar.  Com carinho, Pauline e Felipe."
ago. de 2022,5,Um hotel surpreendente da chegada a saída,"Ficar neste hotel foi uma supresa incrível! Fomos com  Nossas duas pets e fomos extremamente bem recebidos! Funcionários humanos e queridos, hotel cheiroso, quarto extremamente limpo e arejado! A ducha do chuveiro é maravilhosa, o café da manhã com diversas opções de doce e salgados deliciosos! Impecável! Fora a experiência que o hotel proporciona aos hóspedes com carinho na chegada e saída! O Hotel tb tem bicicletas disponíveis e estacionamento gratuito ! Do lado do lago negro é super perto do centro! Incrível! Amamos e voltaremos"
ago. de 2022,5,Ai que Friozinho bom,Amei tudo. Hotel maravilhoso. Funcionários atenciosos. Proprietária uma simpatia. Café da manhã espetacular. Ambiente do Hotel muito agradável. Ainda tem o Chá da tarde que é maravilhoso. Voltaremos em breve. Show de bola.
ago. de 2022,5,Maravilhoso!!!!!,"Maravilhoso!! Hotel charmoso, Staff super agradável. Tudo impecável, desde as acomodações até as massagens. Hotel aconchegante, pode levar seu pet que será bem recebido. Voltarei com certeza.Frequento Gramado há 20 anos e nunca fiquei num hotel tão aconchegante"
ago. de 2022,5,Hotel maravilhoso.,"Equipe muito atenciosa e dedicada. Quarto amplo e bem confortável. A localização é ótima para quem está de carro, pois está próximo ao centro e ainda permite um silencioso descanso. O café da manhã é muito variado e saboroso."
ago. de 2022,5,Excelente,"Melhor hotel, local limpo, espaço maravilhoso. Café da manhã surpreende, além de tudo que tem disponível ainda fazem tapioca. Quarto limpo, cama confortável, banheiro limpo, piso aquecido. Pessoal super atencioso"
ago. de 2022,5,"Hotel muito acolhedor, atendimento nota 10!","O hotel é muito acolhedor. Quarto confortável, excelente café da manhã (inclusive melhor que muitos cafés coloniais de Gramado). O hotel ainda oferece muitos mimos aos hóspedes, como chá da tarde e biscoitinhos no quarto ao final do dia. Os funcionários são gentis e super educados. A localização é boa. Se você estiver de carro é melhor, pois não fica exatamente no Centro de Gramado, mas ao mesmo tempo, é bom para fugir da agitação, pois o centro é mais confuso. Quem gosta de caminhar, o Centrinho de Gramado não é longe, cerca de pouco mais de 1km. Nas redondezas do hotel tem bons restaurantes. Recomendo muito e, com certeza, voltando à Gramado, me hospedarei no Refúgio da Montanha!"
ago. de 2022,5,Hotel encantador,"Adoramos o atendimento, a limpeza, hotel novo, bonito, bem localizado. Recomendamos porque nos surpreendeu muito. Funcionários bem preparados e prontos a fazer o melhor aí cliente. Ambientes arejados, iluminados e muito bem decorados"
jul. de 2022,5,"Sensacional: conforto, receptividade, limpeza","Viajamos em família, e a hospedagem foi sem dúvida uma das melhores partes.    Hotel em perfeito estado, tudo muito limpo, organizado e confortável. Uma das melhores experiências em hotelaria .  Funcionários muito atenciosos.    Recepção extraordinária no check in, e a atenção seguiu durante nossa estadia.    As tardes, um café estilo colonial recebe os hóspedes que retornam de seus passeios, deliciando-se com os salgados e doces de excelente qualidade.    Com certeza, ao retornar a cidade ficaremos hospedados nesse local e indicaremos para amigos e parentes."
jul. de 2022,5,Esperando o frio 😏,"Adorei o hotel, o atendimento, o serviço de quarto, o café da manhã maravilhoso...tudo divino, a localização dele, o capricho nos detalhes, a jacuzzi no quarto permite privacidade, e o bom gosto na decoração 😉"
jul. de 2022,5,Perfeito!!!!,"Hotel maravilhoso. Funcionários muito atenciosos e simpáticos. Comida do restaurante saborosa e muito bem apresentada. Chuveiro maravilhoso. Quarto super quentinho e aconchegante. Precisa de um estacionamento maior que comporte todos os carros na temporada porque o manobrista não estava dando conta do movimento de carros, mas nada de comprometa a qualidade do hotel. Um ponto a melhorar é a reposição dos itens no café da manhã. Recomendo fortemente o hotel. Não perde em nada para os hoteis 5 estrelas renomados de Gramado que conhecemos."
jul. de 2022,5,Maravilhoso.,"Hotel maravilhoso, quarto impecável, recepcionistas super educados e prestativos, localização ótima, café da manhã sensacional, tudo extremamente limpo. Incrível. Já estivemos várias em Gramado, em outros hotéis, mas este foi o que nós surpreendeu. Nota 1000."
jul. de 2022,5,Final semana férias julho,"Hotel muito bom, lindo, recepção muito ágil e educada , quartos limpos , tem chá da tarde muito bom , café manhã bom, são muito atenciosos , todos dias deixam mimos para hóspedes .  Retornaria com certeza , tive vizinhos do quarto de cima barulhentos nas suas relações íntimas , mas isso seria qualquer hotel .  Muito bom mesmo hotel ."
jul. de 2022,5,Gramado em Família e Amigos!,"Hotel nota 10, muito bom, melhor experiência de hotel da minha vida!  Desde a recepção até todos as pessoas que nos atenderam, muito gentis e educados!  Sem falar nos mimos!  Quartos limpos roupa de cama super macia, bem como as toalhas!  Indico e volto assim que der!"
jul. de 2022,5,Super recomendo!,"Surpreendentemente maravilhoso: mimos, café da manhã top, café da tarde, decoração linda e totalmente climatizado. Tudo pensado nos mínimos detalhes. O hotel não é grande, mas tem tudo q se precisa. Ah...falta a piscina, mas não vejo a necessidade disso em gramado 🤷‍♀️."
jul. de 2022,5,Super recomendo,Experiência perfeita em gramado. Excelente atendimento desde a recepção até o café da manhã. Várias cortesias inclusas. Ótima localização. Café da manhã super completo. Quarto suíte simples praticamente um quarto de luxo. Chuveiro ótimo. Tudo do bom
jul. de 2022,5,Felicidade e aconchego. Amei,"Hotel maravilhoso, decoração linda, funcionários excelentes, sem exceção. Café da manhã muito bom.Acomodação também maravilhosa, tudo funcionando bem.Boa localização.Ambientes aconchegantes, limpos. Bom astral dos funcionários."
jul. de 2022,5,Experiência muito boa.,"Equipe realmente muito atenciosa, desde a recepção, quanto café da manhã e bar.. Hotel oferece cortesias, chá da tarde, espumantes, música ao vivo no final de tarde. Localização boa, não tão no centro mas da pra ir a pé para a cidade. Gostei bastante."
jul. de 2022,5,"Hotel perfeito, atendimento de toda equipe incrível! Um dos melhores hotéis que me hospedei na vida!","Hotel simplesmente incrível, lindo, aconchegante, Fomos bem recepcionados do início ao fim, chegamos com café da tarde ( que era servido todos os dias e incluído) todos ganhamos cortesia de massagem relaxante nos pés, e foi maravilhosa, em uma sala super relaxante, todas as noites ganhávamos mimos, docinhos nos quartos, a equipe inteira do hotel de uma educação e simpatia sem igual! Café da manhã delicioso, brinquedoteca, e quando fomos embora ainda ganhamos kits de boa viagem com frutinhas e água para a viagem de gramado até Porto Alegre!"
jul. de 2022,5,Excelente!,"Hotel lindo, limpíssimo e todos os funcionários muito eficazes, simpáticos e cordiais! Jr, Ruan, Marcos, Carlos, Leo….infelizmente não lembro o nome de todos mas fica nossa gratidão por tanto respeito e carinho com nossa família!"
jul. de 2022,3,"Atendimento ótimo, porém com alguns percalços !","Hotel novo, lindo, estrutura impecável, funcionários super atenciosos.    Mas quanto a minha hospedagem no Hotel Refúgio da Montanha …    Paguei um valor alto na hospedagem, que com certeza pagaria qualquer outra viagem internacional, mas paguei, pelo fato de que seria muito bem atendida.    Apesar dos esquecimentos de reposição de sabonetes, shampoos e toalhas de banho… Na noite do dia 27/06/22, às 21:00hrs cansados de um dia de passeio, qdo fui pedir o jantar para três pessoas, recebi a notícia da recepção de que não tinha ninguém na cozinha para preparar devido a uma confraternização deles fora do Hotel.  Ficamos extremamente chateados e com fome, afinal eu nunca ia imaginar isso.  Ou o certo, seria que o Hotel Refúgio da Montanha, se programasse e não deixasse o hóspede desassistido, já que afinal de contas, tudo era pago e bem pago e não era nada, nada barato…  Com certeza, esperava mais… tivemos que nos virar com Ruffles que eu havia comprado aleatoriamente momentos antes em um passada rápida ao supermercado para comprar sabonete.  Realmente não quisemos mesmo fazer pedido de comida fora, insisto, eu estava em um dos melhores Hotéis, e isso não deveria acontecer.    E no dia seguinte ao final do passeio, chegamos e a surpresa… tiraram a cama de solteiro da minha filha do quarto… tivemos que acioná-los, aguardar vir colocar e nesse ínterim eu não podia nem ficar à vontade e ir ao banho pelo fato de que teria que esperar trazer de volta e assim fizeram e ok.    Dia seguinte nos trouxeram uma garrafa do espumante deles, entendi como pedido de desculpas, que falamos que não precisava, mas nos deixaram…enfim….    Apenas lamento…  Fica o registro.  Sem mais.  Obrigada."
jul. de 2022,5,Hotel maravilhoso!,"Lugar incrível e atendimento excelente!  Nossa estadia foi ótima. Profissionais muito atenciosos, café da tarde e da manhã maravilhosos! Parabéns e continuem assim! Recomendamos muito e esperamos voltar!"
jul. de 2022,5,estadia,"Estadia maravilhosa, capricham em todos os detalhes. Desde a recepção, até a saída…  O café da manhã é divino, bastante opções e delicioso.  Tem dispenser de água quente para os hóspedes, a vontade. Ótimo para chás e mates . Eu que tomo muito chá, foi perfeito  Meu pet foi super mimado, eles disponibilizam cama, tapete higiênico , comedouro e ele ainda ganhou biscoitos de petisco 😍"
jun. de 2022,5,Maravilhosa estadia em Gramado-RS,"Hotel muito aconchegante e confortável com uma equipe extremamente atenciosa e prestativa.  Minha esposa e eu adoramos tudo!  Delicioso e bastante completo café da manhã; quarto excelente com ótima cama, calefação, ar condicionado e banheiro com uma ducha relaxante. Tudo muito limpo e com atenção aos mínimos detalhes!  Só temos elogios ao hotel e a todos funcionários! Nossa estadia foi perfeita e pretendemos voltar muito em breve!"
jun. de 2022,5,Final de semana do casamento.,"Tudo 100% desde a reserva até a nossa saída, tudo impecável e o atendimento de todos foi perfeito. Comida, café, café e limpeza nota 10. Nos sentimos muito amados por todos, foi o final de semana do nosso casamento, e com toda certeza o hotel Refugio da Montanha faz parte do nosso conto de fadas do dia mais importante das nossas vidas. Obrigado toda equipe. Voltaremos em breve."
jun. de 2022,5,Excelente e aconchegante !,"Perfeito !  Tratamento personalizado , cordialidade , boa vontade dos colaboradores num ambiente muito acolhedor , quarto grande com aquecedor chuveiro quente e forte ,café da manhã bem diversificado e com inúmeros “ mimos “ desde a chegada .  Espumante , massagem , mensagens positivas acompanhadas de docinhos, biscoitinhos …muito agradável !  Ah sem esquecer do delicioso chá da tarde cortesia todos os dias com uma torre de doces e salgados !  Quando pensei que tinha acabado ainda recebi um kit viagem desejando um bom retorno  Estacionamento grátis no hotel .  Adoramos e recomendamos !!!"
