Data da opinião,Nota,Título,Conteúdo
uma avaliação Ontem,5,Maravilhoso,"Fechei com a pousada pelo whatsapp e de cara já vi que todos eram muito atenciosos. Quando chegamos, tivemos certeza. A estadia foi excelente, todo staff é muito querido, o café da manhã é delicioso e suficiente e ficamos na acomodação jardim, que é linda! Recomendo, e com certeza voltaremos!"
dez. de 2022,5,Pousada Borô,O atendimento via WhatsApp é ágil e os funcionários são muito prestativos e simpáticos. O ambiente interno e externo da pousada é limpo e aconchegante. O café da manhã é muito bom também. Recomendamos!!
dez. de 2022,5,Grata surpresa!,"Tudo maravilhoso, desde o acolhimento até a despedida, sobre as orientações para o seguimento da nossa viagem ao Uruguai. Foi a primeira opção ofertada e já nós apaixonamos, sendo confirmado tudo que nos foi apresentado pela Tripadvisor."
dez. de 2022,5,Experiência incrível,Local aconchegante tratamento excelente comida maravilhosa amei tudo voltarei com toda certeza sem contar a localização perto de tudo receptividade dos funcionários excelente top top super indico gratidão
dez. de 2022,5,Encanto,"Pousada excelente camas confortáveis, quartos limpos, atendimento impecável, lugar tranquilo com fácil acesso, café da manhã muito melhor do que cafés coloniais que conheci...eles fazem um suspiro de morango dos Deuses...eles mimam os hóspedes em detalhes que fazem toda diferença, já quero voltar. Amamos!"
dez. de 2022,5,Muito Confortável.,"Localização em uma rua muito tranquila, mas perto do centro de Gramado. Atendimento excelente com pessoas muito agradáveis, quarto muito confortavel, um café da manhã excelente com muitas comidas boas. Vale muito a hospedagem na Pousada Borô."
dez. de 2022,5,"Foi incrível,","Melhor pousada de Gramado, Tudo excelente, Os apartamentos, o atendimento, café da manhã, Uma pousada pra você verdadeiramente se sentir em casa. Super recomendo, Se você estiver indo pra gramado, Não deixar de se hospedar na pousada Boró, O melhor lugar que me hospedei até Hoje, tudo excelente."
dez. de 2022,5,Aniversário de casamento,"Boa tarde !! Sentimento de gratidão por toda estadia com a pousada Borô.. obrigado por fazer parte desse grande momento que estivemos aí em Gramado , comemorando o nosso aniversário de casamento. Super indicamos a pousada Borô . Esperamos em Deus voltarmos com toda família."
dez. de 2022,5,Pousada Borô,Ótimo local para descansar e curtir Gramado. Hospedagem excelente e um café da manhã muito gostoso. Pessoas educadas e o local é muito limpo. Agradecemos ao ótimo atendimento da Sabrina que deu todo o suporte para tornar a viagem ainda melhor.
dez. de 2022,5,Aconchegante e ótimo atendimento!,"Muito aconchegante. Atendimento excelente. Em especial as meninas da cozinha Sandra e Ana! Café da manhã delicioso. Boa localização em uma rua tranquila. Jardim bem cuidado. Quarto bom para família, amplo e sempre limpo!"
dez. de 2022,5,Grata surpresa!,"Acabei optando pelo local em função da baixa disponibilidade de hotéis na época do Natal Luz. Grata foi a minha surpresa com o local. Pousada muito limpa, confortável, banho muuuito quente, café da manhã delicioso servido em um ambiente extremamente aconchegante. Costumo ir bastante à Gramado, certamente me hospedarei novamente."
nov. de 2022,5,Delícia de lugar!,"Lugar aconchegante, organizado, limpo. Serviço impecável. Lugar que presa o contato com a natureza, situado bem próximo ao centro de gramado. Ótimo lugar para pessoas que procuram se hospedar antes ou depois de curtir o park termal Aquamotion ou a snowland."
nov. de 2022,5,Atendimento excelente,"Tudo maravilhoso!!! Atendimento de ótima qualidade de todos os funcionários, café da manhã maravilhoso, limpeza excepcional, cama ótima, boa localização, fácil acesso. Precisamos de urgência e foi muito rápido tbm com atendimento na pousada"
nov. de 2022,4,Pousada familiar,"Boa localização para quem vai de carro, pois fica um pouco distante do centro de Gramado. Quanto ao quarto bem espaçoso e confortável, sempre limpo. Café da manhã muito bom, com pessoal bem prestativo. Casal proprietário muito prestativo ."
nov. de 2022,5,Experiência maravilhosa,"Melhor pousada dos últimos tempos!! Educados prestativos e atenciosos!! Certamente voltaremos !! Nota 10 Café da manhã espetacular, acomodação super confortável! Não tenho contra, apenas elogios pelos dias em que fiquei aí 🙏"
nov. de 2022,5,"Excelente localização, conforto,.segurança.","Ótima pousada de se ficar em Gramado, ótimo café da manhã, excelente localização, segura e aconchegante. Funcionários atenciosos, me senti muito bem recebida e acolhida. Pretendo voltar mais vezes a Gramado e está pousada com certeza estará na minha memória."
nov. de 2022,5,Sensacional!,"Foi tudo maravilhoso! Funcionários super educados e cordiais, quartos lindos, limpos e confortáveis, café da manhã delicioso e um ambiente extremamente agradável… Foi tudo sem defeito 😍❤️☺️ Super recomendo"
nov. de 2022,5,Borô é realmente a melhor Pousada de Gramado.,"Fui com minha irmã e adoramos a Borô. Pousada tem uma ótima localização, ambiente tranquilo e acolhedor. Atendimento maravilhoso, café da manhã muito bom. A pousada dispõe de um local para massagem. Ficamos encantadas com a Pousada Borô e em breve retornaremos. Recomendo muito. Obrigada equipe Borô.❤️❤️❤️"
nov. de 2022,5,Excelente,Lugar encantador e com uma equipe qualificada e preparada para atender muito bem a todos. Parabéns pela excelência no desenvolvimento da proposta da pousada. Recomendo e pretendo em breve me hospedar novamente por aí.
nov. de 2022,5,Excelente experiência,"A pousada é aconchegante, quartos limpos e espaçosos. As pessoas que nela trabalham são gentis e hospitaleiras. Super limpo! Café da manhã excelente! Foram dias perfeitos. Super indicamos está pousada."
nov. de 2022,5,Encantados com Gramado e com a pousada Borô,"Uma pousada excelente, com um jardim incrível e funcionários muito atenciosos. Café da manhã impecável. Um ambiente limpo, organizado e tranquilo. Ideal para receber toda família. Espero voltar em breve..."
out. de 2022,5,Excelente!,"Adoramos tudo na pousada! Recebemos um ótimo atendimento, o lugar é muito agradável e a limpeza da pousada também. Tenho elogios em especial ao banho e ao café da manhã, estava demais! É bem localizada também, perto do centro."
out. de 2022,5,Pousada Borô…. Excelente experiência. Ansiosos para retornar !!!,"Lugar aconchegante, atendimento diferenciado, quarto em perfeito estado, tudo novinho, área externa com lindo jardim muito bem cuidado, e para fechar, café da manhã muito bom. Ansiosos para retornar!"
out. de 2022,5,Pousada Aconchegante,"Fiquei na pousada com minha esposa, o lugar é bonito, o quarto confortável,cama grande e confortável. Café da manhã muito bom. Atendimento dos funcionários muito bom, sempre educados e gentis, nos sentimos em casa. Clima acolhedor. Voltaremos certamente."
out. de 2022,5,Pousada Borô,"Ótima pousada, atendimento espetacular! Café da manhã maravilhoso! Quartos muito limpo e cheirosos. Funcionários super gentis! Adoramos e recomendamos com certeza! Sem contar o verde, o parquinho, a decoração, enfim! Amamos"
out. de 2022,5,Ótima pousada,"Ótima pousada, tudo muito limpo e bem cuidado. Funcionários simpáticos e prestativos. Café da manhã muito bom e ótima localização. Adoramos a nossa estadia nesta pousada, com certeza iremos voltar."
out. de 2022,5,Hospedagem nota millll,"Ficamos na suíte queen e foi excepcional, aconchegante, super organizado, limpo, funcionários atenciosos banheira jacuzzi melhor que já vi, café da manhã perfeito e tudo delicioso!!! Com certeza super indico! Ameiiiii Quero voltar nele com toda certeza"
out. de 2022,5,Nota 10 em todos os quesitos,"Ambiente delicioso, limpeza nota 10, funcionários extreamente educados, voltarei mais vezes ,e com certeza vou ficar na Boro .o café maravilhoso. E claro Gramados lugar lindo, vai ficar na memória . Próximo do centro,"
